LOGIN_ID,PASSWORD,DATA_LOGINID,SERVICE_CODE,FILE_TYPE,CATEGORY_CODE,DOMAIN_CODE,GEO_DOMAIN_CODE,NO_OF_RECORDS,SCHEDULE_NOW,REQUEST_FOR,FREQUENCY_CODE,ITERATIONS,SCHEDULE_DATE,UPLOADED_LOCATION,TYPE,EXTERNAL_CODE,TestcaseId,TestcaseType,Module,Description
corpuser,1357,corpuser,RC,CORPORATE,COR,,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,11,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.domain.is.required"" when domain is not provided"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,12,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.geodomain.is.required"" when geo grphical domain  not provided"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,13,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.noofrecords.is.required"" when no of records not provided"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,14,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.requestfor.is.required"" when request for not provided"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,0,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,15,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.zero.not.allowed"" when provide 0 in no of records"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,16,Negative,Batch Schedule Recharge,"To verify validation message appears ""date.is.not.in.proper.format"" when provide invalid date formate"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,,SCHTOUPFLUP,,17,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.uploaded.file.location.is.required"" when do not provide uploaded file location"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1480418120189.xlsx,SCHTOUPFLUP,,18,Negative,Batch Schedule Recharge,"To verify validation message appears ""schedule.recharge.uploaded.file.is.not.valid"" when upload invalid file"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,19,Negative,Batch Schedule Recharge,"To verify validation message appears ""frequency.and.iterations.are.dependent.on.eachother.either.provide.both.or.do.not.provide.any"" when do not provide frequency code"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,20,Negative,Batch Schedule Recharge,"To verify validation message appears ""frequency.and.iterations.are.dependent.on.eachother.either.provide.both.or.do.not.provide.any"" when do not provide iterations"
corpuser,1357,,,,,,,,,,,,,,SCHTOUPFLUP,,21,Negative,Batch Schedule Recharge,To verify all field validation messages appears when do not provide any value
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,22,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.msg.invalidnoofrecord"" when invalid no of records provided"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,23,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.msg.zerorecords"" when emply file uploaded"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,12,ON,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,24,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.msg.noofrecordexeced"" when total valid record in file execed from SCHEDULE_NOW_BATCH_RECHARGE_FILE_SIZE defined in Constants.props and file type is CORPORATE and schedule now is ON"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,12,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,25,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.msg.noofrecordexeced"" when total valid record in file execed from RESTRICTED_MSISDN_LIST_SIZE defined in Constants.props and file type is CORPORATE"
corpuser,1357,corpuser,RC,NORMAL,COR,CORP,JKA,12,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,26,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.msg.noofrecordexeced"" when total valid record in file execed from BATCH_MSISDN_LIST_SIZE defined in Constants.props and file type is not CORPORATE"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,ABC,12,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,27,Negative,Batch Schedule Recharge,"To verify validation message appears ""invalid.geographical.domain.code"" when provide invalid geo graphical domain"
corpuser,1357,corpuser,RC,CORPORATE,COR,ABC,JKA,12,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,28,Negative,Batch Schedule Recharge,"To verify validation message appears ""invalid.domain.code"" when provide invalid domain code"
corpuser,1357,corpuser1,RC,CORPORATE,COR,CORP,JKA,12,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,29,Negative,Batch Schedule Recharge,"To verify validation message appears ""invalid.login.id"" when provide invalid login id"
corpuser,1357,corpuser,RC,CORPORATE,ABC,CORP,JKA,12,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1490358997979.csv,SCHTOUPFLUP,,30,Negative,Batch Schedule Recharge,"To verify validation message appears ""invalid.category.code"" when provide invalid category code"
corpuser,1357,corpuser,RC,CORPORATE,COR,CORP,JKA,10,OFF,SCHEDULE,DAILY,1,30-03-2017,/home/PVG_TEST650/tomcat8_ansible/logs/schedule/schedule1481619749668.csv,SCHTOUPFLUP,,31,Negative,Batch Schedule Recharge,"To verify validation message appears ""restrictedsubs.scheduletopupdetails.errorlog.msg.novaliddatafound.in.the.file"" when file does not contain any valid data"
