DATE,EXTNWCODE,MSISDN,PIN,LOGINID,PASSWORD,EXTCODE,EXTREFNUM,MSISDN2,AMOUNT,LANGUAGE1,LANGUAGE2,SELECTOR,TestcaseId,TestcaseType,Module,Description
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10001,Positive,Roam Recharge Penalty,Check that correct entry for penalty goes into adjustments  if recharge is made successful on reconciliation. All calculations are correct as penalty has to be recalculated at this time.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10002,Positive,Roam Recharge Penalty,Check that penalty is credited back with transaction amount if recharge is marked as  'fail' on reconciliation
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10003,Positive,Roam Recharge Penalty,Check that roam amount is decreased in user_transfer_counts  if recharge is marked as  'fail' on reconciliation
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10004,Positive,Roam Recharge Penalty,Check that penalty is debited along with transaction amount and  entry for penalty goes into adjustments  if recharge is made successful on reconciliation
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10005,Positive,Roam Recharge Penalty,Check that correct entry for penalty goes into adjustments  if recharge is made successful on reconciliation. All calculations are correct as penalty has to be recalculated at this time.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10006,Positive,Roam Recharge Penalty,Check that nothing happens if recharge is marked as  'fail' on reconciliation
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10007,Positive,Roam Recharge Penalty,Check that roam amount is increased  in user_transfer_counts  if recharge is marked as  'success' on reconciliation
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10008,Positive,Roam Recharge Penalty,Check that message is sent to user and owner(if applicable) everytime the ambiguous transaction is marked 'success' that penalty is debited.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10009,Positive,Roam Recharge Penalty,Check that message is sent to user and owner(if applicable) everytime the ambiguous transaction is marked 'fail' that penalty is credited back
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10010,Positive,Roam Recharge Penalty,"Check that if the balance goes to the user, when the transaction amount is credited, the balance should be updated with penalty amount too."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10011,Positive,Roam Recharge Penalty,"Check that if the balance goes to the user, when the transaction amount is debited the balance should be updated with penalty amount too."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10012,Positive,Roam Recharge Penalty,"Check that in case negative additional commission is applicable in system, and penalty is charged then user should not be notified that his/her balance is not sufficient for negative additional comm."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10013,Positive,Roam Recharge Penalty,Check that penalty is credited back with transaction amount if recharge is marked as  'fail' on reconciliation
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10014,Positive,Roam Recharge Penalty,Check that  Additional commission Deduction process will credit penalty amount (retailer +owner)to network stock
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10015,Positive,Roam Recharge Penalty,Check that Roam recharge is working through EXTGW and penalty is applicable
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10016,Positive,Roam Recharge Penalty,Check that Roam recharge is working through USSD and penalty is applicable
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10017,Positive,Roam Recharge Penalty,Check that penalty is being charged and additional commission is not given if user crosses the daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10018,Positive,Roam Recharge Penalty,Check that penalty is not being charged and additional commission is  given if user does not cross the daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10019,Positive,Roam Recharge Penalty,Check that user's owner is charged penalty if user crosses daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10020,Positive,Roam Recharge Penalty,Check that penalty is calculated correctly for user
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10021,Positive,Roam Recharge Penalty,Check that correct minimum commssion slab is picked for user from Commission Profile Minimum Cache
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10022,Positive,Roam Recharge Penalty,Check that penalty is calculated correctly for user's owner
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10023,Positive,Roam Recharge Penalty,Check minimum percenatge slab is picked when all percentage slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10024,Positive,Roam Recharge Penalty,Check minimum amount slab is picked when all amount slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10025,Positive,Roam Recharge Penalty,Check minimum percentage slab is picked when both amount and commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10026,Positive,Roam Recharge Penalty,Check minimum percentage slab is picked when single amount and multiple percenatge commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10027,Positive,Roam Recharge Penalty,Check percentage slab is picked when multiple amount and single percenatge commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10028,Positive,Roam Recharge Penalty,Check that user should not get additional commission if he/she has crossed daily roam threshold but penalty calculated comes out to be 0 (base commission is 0%)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10029,Positive,Roam Recharge Penalty,Check that user should not get additional commission if he/she has crossed daily roam threshold but penalty calculated comes out to be 0 (penalty percenatge is 0%)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10030,Positive,Roam Recharge Penalty,Check that message is sent to user or owner if roam penalty is deducted for user  or owner respectively
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10031,Positive,Roam Recharge Penalty,"Check if user balance is sufficient so that tranaction amount+penalty can be deducted , otherwise reject the transaction"
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10032,Positive,Roam Recharge Penalty,"Check if user's owner balance is sufficient so that penalty can be deducted, otherwise reject the transaction."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10033,Positive,Roam Recharge Penalty,Check that user's roam daily roam amount  is increasing on successful transaction
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10034,Positive,Roam Recharge Penalty,Check that user's roam daily roam amount  is not increase on ambiguous transaction if system pref for on the transaction credit back is true for ambiguous
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10035,Positive,Roam Recharge Penalty,Check that roam daily counter is set to 0 on first transaction of the day.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10036,Positive,Roam Recharge Penalty,Check that user's daily roam amount  is not increased on failed transaction
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10037,Positive,Roam Recharge Penalty,Check that penalty is being charged and additional commission is not given if user crosses the daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10038,Positive,Roam Recharge Penalty,Check that penalty is not being charged and additional commission is  given if user does not cross the daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10039,Positive,Roam Recharge Penalty,Check that user's owner is charged penalty if user crosses daily roam threshold
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10040,Positive,Roam Recharge Penalty,Check that penalty is calculated correctly for user
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10041,Positive,Roam Recharge Penalty,Check that correct minimum commssion slab is picked for user from Commission Profile Minimum Cache
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10042,Positive,Roam Recharge Penalty,Check that penalty is calculated correctly for user's owner
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10043,Positive,Roam Recharge Penalty,Check minimum percenatge slab is picked when all percentage slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10044,Positive,Roam Recharge Penalty,Check minimum amount slab is picked when all amount slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10045,Positive,Roam Recharge Penalty,Check minimum percentage slab is picked when both amount and commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10046,Positive,Roam Recharge Penalty,Check minimum percentage slab is picked when single amount and multiple percenatge commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10047,Positive,Roam Recharge Penalty,Check percentage slab is picked when multiple amount and single percenatge commission slabs are present in commission profile
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10048,Positive,Roam Recharge Penalty,Check that user should not get additional commission if he/she has crossed daily roam threshold but penalty calculated comes out to be 0 (base commission is 0%)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10049,Positive,Roam Recharge Penalty,Check that user should not get additional commission if he/she has crossed daily roam threshold but penalty calculated comes out to be 0 (penalty percenatge is 0%)
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10050,Positive,Roam Recharge Penalty,Check that message is sent to user or owner if roam penalty is deducted for user  or owner respectively
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10051,Positive,Roam Recharge Penalty,"Check if user balance is sufficient so that tranaction amount+penalty can be deducted , otherwise reject the transaction"
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10052,Positive,Roam Recharge Penalty,"Check if user's owner balance is sufficient so that penalty can be deducted, otherwise reject the transaction."
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10053,Positive,Roam Recharge Penalty,Check that user's roam daily roam amount  is increasing on successful transaction
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10054,Positive,Roam Recharge Penalty,Check that user's roam daily roam amount  is not increase on ambiguous transaction if system pref for on the transaction credit back is true for ambiguous
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10055,Positive,Roam Recharge Penalty,Check that roam daily counter is set to 0 on first transaction of the day.
,NG,7255555555,1357,,,,,8100005544,100,0,0,1,TUNG10056,Positive,Roam Recharge Penalty,Check that user's daily roam amount  is not increased on failed transaction
