TestCaseNo.,Discription,FirstName,LastName,ShortName,UserPrefix,External Code,SubscriberCode ,Mobile No.,ssn ,Status ,Designation,Division,Department ,Address 1,Address 2,City State ,State ,Country,Email-ID,Appointment Date,Login ID ,Password ,Conf Pwd.,Allowd IP.,Time From.,Time To.,Role type,MobileNo.,SMS PIN,Conf. PIN,Assertion
TEST051,Try to submit a password of sequential set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,abcdef,abcdef,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain sequential charcters
TEST052,Try to submit a password of sequential set of number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,123456,123456,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain sequential charcters
TEST053,Try to submit a password of continious set of number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,111111,111111,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain repeating characters
TEST054,Try to submit a password of continious set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,aaaaaa,aaaaaa,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain repeating characters
TEST055,Try to submit a password of recurring set of number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,121212,121212,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain sequential charcters
TEST056,Try to submit a password of in sequence set of number in decreasing order,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,654321,654321,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain sequential charcters
TEST057,Try to submit a password of in sequence set of charactor in decreasing order,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,fedcba,fedcba,,00:00,23:59,checkall,7213526393,1357,1357,Password cannot contain sequential charcters
TEST058,Try to submit a single digit confirm password,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,shashi,s,,00:00,23:59,checkall,7213526393,1357,1357,Confirm password length should not be less than 6
TEST059,Try to submit a diffrent confirm password,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,shashi1,shashi2,,00:00,23:59,checkall,7213526393,1357,1357,Web password is not equal to confirm password
TEST060,Try to submit a case sensative confirm password,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,shashi,SHASHI,,00:00,23:59,checkall,7213526393,1357,1357,Web password is not equal to confirm password
TEST061,Try to submit IP as s single digit,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST062,Try to submit IP as characotr set,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,A.B.C.D,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST063,Try to submit IP having more than 3 dots,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1.1.1.1.1,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST064,Try to submit IP which is reserved,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,0.0.0.0,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST065,Try to submit a negative IP address,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,-1.1.1.1,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST066,Try to submit IP address in which one filed having more than 255 value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,255.255.255.256,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST067,Try to submit IP address containing only two dots.,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1.1.1,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST068,Try to submit IP address starting form zero,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,0.16.2.25,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST069,Try to submit IP address containing value more than 1 byte,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,256.256.256.256,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST070,Try to submit Ip address closed within commas,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,172.16.1.'25',00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST071,Try to submit IP address which contains colon,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1:1:1:1,00:00,23:59,checkall,7213526393,1357,1357,is not a valid IP address
TEST072,Try to submit form time as set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,ABCDE,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST073,Try to submit form time more than 23:59,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,25:25:00,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST074,Try to submit form time as decimal value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,0.086805556,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST075,Try to submit form time without colon,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,1001,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST076,Try to submit form time containing special charator,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,#VALUE!,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST077,Try to submit form time containg + sign,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,+10:1,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST078,Try to submit form time as containing decimal value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,14.12,23:59,checkall,7213526393,1357,1357,Invalid from time 
TEST079,Try to submit form time as set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,ABCDE,checkall,7213526393,1357,1357,Invalid to time
TEST080,Try to submit form time more than 23:59,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,25:25:00,checkall,7213526393,1357,1357,Invalid to time
TEST081,Try to submit form time as decimal value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,0.086805556,checkall,7213526393,1357,1357,Invalid to time
TEST082,Try to submit form time without colon,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,1001,checkall,7213526393,1357,1357,Invalid to time
TEST083,Try to submit form time containing special charator,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,#VALUE!,checkall,7213526393,1357,1357,Invalid to time
TEST084,Try to submit form time containg + sign,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,+10:1,checkall,7213526393,1357,1357,Invalid to time
TEST085,Try to submit form time as containing decimal value,NetworAdmin,Admin,USER14,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,14.12,checkall,7213526393,1357,1357,Invalid to time
