TestCaseNo.,Discription,FirstName,LastName,ShortName,UserPrefix,External Code,SubscriberCode ,Mobile No.,ssn ,Status ,Designation,Division,Department ,Address 1,Address 2,City State ,State ,Country,Email-ID,Appointment Date,Login ID ,Password ,Conf Pwd.,Allowd IP.,Time From.,Time To.,Role type,Assertion
TEST013,Try to submit mobile number having commas,NetworAdmin,Admin,USER12,,,1357,"7,21,35,68,972",,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST014,Try to submit mobile number which in inside the inverted comma,NetworAdmin,Admin,USER12,,,1357,72135'68972',,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST015,Try to submit Mobile number as set of charactor,NetworAdmin,Admin,USER12,,,1357,XYZPQRSG,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST016,Try to submit Mobile number of only two digits,NetworAdmin,Admin,USER12,,,1357,72,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST017,Try to submit Mobile number as zero,NetworAdmin,Admin,USER12,,,1357,0,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST018,Try to submit a negativeMobile number,NetworAdmin,Admin,USER12,,,1357,-8783424786,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST019,Try to submit Mobile number in decimal format,NetworAdmin,Admin,USER12,,,1357,21354518.7,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST020,Try to submit Mobile number inside the quotes,NetworAdmin,Admin,USER12,,,1357,"""721237863""",,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST021,Try to submit Mobile number  as exponential form,NetworAdmin,Admin,USER12,,,1357,10^10,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST022,Try to submit Mobile number containing charactor,NetworAdmin,Admin,USER12,,,1357,72A568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,MSISDN is incorrect.
TEST023,Try to submit plain address as an email ID,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,abcxyzcom,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST024,Try to submit a garbage as an email ID,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,!$@!%@#%!#$.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST025,Try to submit email ID without username,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,@hh.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST026,Try to submit email ID within HTML tags,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,test<email@domain.com>,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST027,Try to submit email ID without @ symbol,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email.domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST028,Try to submit email ID having two @ symbol,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain@com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST029,Try to submit email ID leading with dot,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,.email@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST030,Try to submit email ID trailing dot,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email.@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST031,Try to submit email ID in username contains multiple dots,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email..g@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST032,Try to submit email ID in which username is enclosed within inverted commas,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,e'm'ail@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST033,Try to submit email ID followed by name in bracket,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain.com(Smith),calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST034,Try to submit email ID without top level domain,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST035,Try to submit email ID in which username having space,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,test mail@domain.com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST036,Try to submit email ID having multiple dots in domians,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,email@domain..com,calendar-icon.gif,test1234,test@12,test@12,,00:00,23:59,checkall,Email ID is not a vaild e-mail address.
TEST037,Try to submit login ID of of two and more word,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test 1234,test@12,test@12,,00:00,23:59,checkall,Invalid login ID. Login ID should not contain any space between characters.
TEST038,Try to submit a password of single charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,a,a,,00:00,23:59,checkall,Password length should be between 6 and 8 characters.
TEST039,Try to submit a password of sequential set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,abcdef,abcdef,,00:00,23:59,checkall,Password cannot contain sequential charcters
TEST040,Try to submit a password of sequential set of number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,123456,123456,,00:00,23:59,checkall,Password cannot contain sequential charcters
TEST041,Try to submit a password of continious set of number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,111111,111111,,00:00,23:59,checkall,Password cannot contain repeating characters
TEST042,Try to submit a password of continious set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,aaaaaa,aaaaaa,,00:00,23:59,checkall,Password cannot contain repeating characters
TEST043,Try to submit a password of recurring set of number,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,121212,121212,,00:00,23:59,checkall,Password cannot contain sequential charcters
TEST044,Try to submit a password of in sequence set of number in decreasing order,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,654321,654321,,00:00,23:59,checkall,Password cannot contain sequential charcters
TEST045,Try to submit a password of in sequence set of charactor in decreasing order,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,fedcba,fedcba,,00:00,23:59,checkall,Password cannot contain sequential charcters
TEST046,Try to submit a single digit confirm password,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,shashi,s,,00:00,23:59,checkall,Confirm password length should not be less than 6
TEST047,Try to submit a diffrent confirm password,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,shashi1,shashi2,,00:00,23:59,checkall,Web password is not equal to confirm password
TEST048,Try to submit a case sensative confirm password,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,shashi,SHASHI,,00:00,23:59,checkall,Web password is not equal to confirm password
TEST049,Try to submit IP as s single digit,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1,00:00,23:59,checkall,is not a valid IP address
TEST050,Try to submit IP as characotr set,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,A.B.C.D,00:00,23:59,checkall,is not a valid IP address
TEST051,Try to submit IP having more than 3 dots,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1.1.1.1.1,00:00,23:59,checkall,is not a valid IP address
TEST052,Try to submit IP which is reserved,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,0.0.0.0,00:00,23:59,checkall,is not a valid IP address
TEST053,Try to submit a negative IP address,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,-1.1.1.1,00:00,23:59,checkall,is not a valid IP address
TEST054,Try to submit IP address in which one filed having more than 255 value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,255.255.255.256,00:00,23:59,checkall,is not a valid IP address
TEST055,Try to submit IP address containing only two dots.,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1.1.1,00:00,23:59,checkall,is not a valid IP address
TEST056,Try to submit IP address starting form zero,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,0.16.2.25,00:00,23:59,checkall,is not a valid IP address
TEST057,Try to submit IP address containing value more than 1 byte,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,256.256.256.256,00:00,23:59,checkall,is not a valid IP address
TEST058,Try to submit Ip address closed within commas,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,172.16.1.'25',00:00,23:59,checkall,is not a valid IP address
TEST059,Try to submit IP address which contains colon,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,1:1:1:1,00:00,23:59,checkall,is not a valid IP address
TEST060,Try to submit form time as set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,ABCDE,23:59,checkall,Invalid from time format
TEST061,Try to submit form time more than 23:59,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,23:66i,23:59,checkall,Invalid from time
TEST062,Try to submit form time as decimal value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,0.086805556,23:59,checkall,Invalid from time format
TEST063,Try to submit form time without colon,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,1001,23:59,checkall,Invalid from time format
TEST064,Try to submit form time containing special charator,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,#VALUE!,23:59,checkall,Invalid from time format
TEST065,Try to submit form time containg + sign,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,+10:1,23:59,checkall,Invalid from time format
TEST066,Try to submit form time as containing decimal value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,14.12,23:59,checkall,Invalid from time format
TEST067,Try to submit form time as set of charactor,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,ABCDE,checkall,Invalid to time
TEST068,Try to submit to time more than 23:59,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,25:25:00,checkall,Invalid to time
TEST069,Try to submit to time as decimal value,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,0.086805556,checkall,Invalid to time
TEST070,Try to submit to time without colon,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,1001,checkall,Invalid to time
TEST071,Try to submit to time containing special charator,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,#VALUE!,checkall,Invalid to time
TEST072,Try to submit to time containg + sign,NetworAdmin,Admin,USER12,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,+10:1,checkall,Invalid to time
TEST073,Try to submit to time as containing decimal value,NetworAdmin,Admin,USER14,,,1357,7213568972,,Active,,IT division,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,00:00,14.12,checkall,Invalid to time
,,,,,,,,,,,,,,,,,,,,calendar-icon.gif,test1234,test@12,test@12,,,,,
